Step,Akṣara,Pitch_Waveform,Recoil_Burst,Vowel_Length,Kinetic_Intensity,Row_Load,Cumulative_Load
1,ō-,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,2.0
2,nna-,⚪🟢⚪,🟢🟢⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,4.0
3,mō,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,6.0
4,bha,⚪🟢⚪,🟢🟢🔴,🟢⚪⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,9.0
5,ga,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,10.0
6,va,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,11.0
7,tē̍,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,14.0
8,rud,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,15.0
9,rā̠,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,17.0
10,ya,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,18.0
11,॥,⚫⚫⚫,⚫⚫⚫,⚫⚫⚫⚫⚫⚫,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0.0,0.0
