Step,Akṣara,Pitch_Waveform,Recoil_Burst,Vowel_Length,Kinetic_Intensity,Row_Load,Cumulative_Load
1,ō-,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,2.0
2,nna-,⚪🟢⚪,🟢🟢⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,4.0
3,mō,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,6.0
4,bha,⚪🟢⚪,🟢🟢🔴,🟢⚪⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,9.0
5,ga,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,10.0
6,va,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,11.0
7,tē̍,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,14.0
8,rud,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,15.0
9,rā̠,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,17.0
10,ya,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,18.0
11,॥,⚫⚫⚫,⚫⚫⚫,⚫⚫⚫⚫⚫⚫,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0.0,0.0
12,na,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,1.0
13,ma̍s,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,3.0
14,tē,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,5.0
15,rud,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,6.0
16,ra,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,7.0
17,ma̠n,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,8.0
18,ya,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,9.0
19,va̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,11.0
20,u̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,12.0
21,tō,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,14.0
22,ta̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,15.0
23,i,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,16.0
24,ṣa̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,18.0
25,vē̠,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,20.0
26,na,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,21.0
27,ma̍ḥ,⚪⚪🔴,🟢🟢🔴,🟢⚪⚪⚪⚪⚪,🟢🟢🟢🟢⚪⚪⚪⚪⚪⚪,4.0,25.0
28,।,⚫⚫⚫,⚫⚫⚫,⚫⚫⚫⚫⚫⚫,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0.0,0.0
29,na,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,1.0
30,ma̍s,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,3.0
31,tē,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,5.0
32,as,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,6.0
33,tu̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,7.0
34,dhan,⚪🟢⚪,🟢🟢🔴,🟢⚪⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,10.0
35,va̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,12.0
36,nē,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,14.0
37,bā̠,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,16.0
38,hubh,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,17.0
39,yā̍,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,20.0
40,mu̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,21.0
41,ta,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,22.0
42,tē̠,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,24.0
43,na,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,25.0
44,ma̍ḥ,⚪⚪🔴,🟢🟢🔴,🟢⚪⚪⚪⚪⚪,🟢🟢🟢🟢⚪⚪⚪⚪⚪⚪,4.0,29.0
45,॥,⚫⚫⚫,⚫⚫⚫,⚫⚫⚫⚫⚫⚫,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0.0,0.0
46,yā,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,2.0
47,ta̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,3.0
48,i,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,4.0
49,ṣu̍-,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,6.0
50,śśi̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,7.0
51,va,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,8.0
52,ta̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,10.0
53,mā,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,12.0
54,śi̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,13.0
55,va-,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,14.0
56,mba̠b,🟡⚪⚪,🟢🟢⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,16.0
57,hū,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,18.0
58,va̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,20.0
59,tē̠,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,22.0
60,dha,⚪🟢⚪,🟢🟢🔴,🟢⚪⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,25.0
61,nu̍ḥ,⚪⚪🔴,🟢🟢🔴,🟢⚪⚪⚪⚪⚪,🟢🟢🟢🟢⚪⚪⚪⚪⚪⚪,4.0,29.0
62,।,⚫⚫⚫,⚫⚫⚫,⚫⚫⚫⚫⚫⚫,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0.0,0.0
63,śi̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,1.0
64,vā,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,3.0
65,śa̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,5.0
66,ra̠v,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,6.0
67,yā̍,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,9.0
68,yā,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,11.0
69,ta,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,12.0
70,va̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,13.0
71,ta,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,14.0
72,yā̍,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,17.0
73,nō,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,19.0
74,rud,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,20.0
75,ra,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,21.0
76,mṛḍa,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,22.0
77,ya,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,23.0
78,।,⚫⚫⚫,⚫⚫⚫,⚫⚫⚫⚫⚫⚫,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0.0,0.0
79,yā,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,2.0
80,tē̍,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,5.0
81,rud,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,6.0
82,ra,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,7.0
83,śi̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,8.0
84,vā,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,10.0
85,ta̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,11.0
86,nū,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,13.0
87,rag,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,14.0
88,hō̠,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,16.0
89,rā-,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,18.0
90,'pā̍,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,21.0
91,pa,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,22.0
92,kā,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,24.0
93,śi,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,25.0
94,nī,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,27.0
95,।,⚫⚫⚫,⚫⚫⚫,⚫⚫⚫⚫⚫⚫,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0.0,0.0
96,ta,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,1.0
97,yā̍,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,4.0
98,nas,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,5.0
99,ta̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,6.0
100,nu,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,7.0
101,vā̠,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,9.0
102,śan,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,10.0
103,ta̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,12.0
104,ma,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,13.0
105,yā̠,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,15.0
